rva	end	size	section	verdict	coverage	attribution	reachability	evidence
0x001e7a88	0x001e7a98	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7adc	0x001e7af0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7b34	0x001e7b48	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7b8c	0x001e7ba0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7be8	0x001e7bf8	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7c3c	0x001e7c50	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7c94	0x001e7ca8	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7cec	0x001e7d00	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7d44	0x001e7d58	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7d9c	0x001e7db0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7df4	0x001e7e08	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7e4c	0x001e7e60	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7ea4	0x001e7eb8	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7efc	0x001e7f10	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7f54	0x001e7f68	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e7fac	0x001e7fc0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8004	0x001e8018	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e805c	0x001e8070	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e80b4	0x001e80c8	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e810c	0x001e8120	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8164	0x001e8178	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e81bc	0x001e81d0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8214	0x001e8228	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e826c	0x001e8280	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e82c4	0x001e82d8	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e831c	0x001e8330	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8374	0x001e8388	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e83cc	0x001e83e0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8424	0x001e8438	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e847c	0x001e8490	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e84d4	0x001e84e8	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e852c	0x001e8540	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8584	0x001e8598	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e85dc	0x001e85f0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8634	0x001e8648	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e868c	0x001e86a0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e86e4	0x001e86f8	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e873c	0x001e8750	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8798	0x001e87a8	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e87f0	0x001e8800	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8844	0x001e8858	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e889c	0x001e88b0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8b28	0x001e8ba8	128	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8c84	0x001e8cb0	44	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8cc8	0x001e8cd0	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8ce8	0x001e8cf0	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8d08	0x001e8d10	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8d78	0x001e8d90	24	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8e6c	0x001e8e98	44	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8ed0	0x001e8ee0	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e8fbc	0x001e8fe8	44	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e93ad	0x001e93b0	3	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e93d0	0x001e949c	204	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001e949c	0x001e94ac	16	.rdata	game-visible unenrolled data	eligible	UNCLASSIFIED (non-zero)	direct game/compiler code (9)	nz=6
0x001e94ac	0x001e94b8	12	.rdata	game-visible unenrolled data	eligible	UNCLASSIFIED (non-zero)	direct game/compiler code (9)	nz=3
0x001e94f0	0x001e9500	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e95dc	0x001e9608	44	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9628	0x001e9630	8	.rdata	game-visible unenrolled data	eligible	padding / alignment (zero)	direct game/compiler code (1)	zero bytes with no inbound game-visible reference
0x001e9660	0x001e9670	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e96a0	0x001e96b0	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e96e0	0x001e96ec	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9710	0x001e9718	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9730	0x001e9738	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9778	0x001e9788	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9999	0x001e999c	3	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e99b8	0x001e9a28	112	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9a80	0x001e9a98	24	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9aa8	0x001e9ab0	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9af8	0x001e9b08	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9b50	0x001e9b60	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9b7c	0x001e9b88	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9ba4	0x001e9bb0	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9bcc	0x001e9bd8	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9c44	0x001e9c60	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9ccc	0x001e9ce8	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9d54	0x001e9d70	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9ddc	0x001e9df8	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9e64	0x001e9e80	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9eec	0x001e9f08	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001e9fb8	0x001e9fe0	40	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea090	0x001ea0b8	40	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea168	0x001ea190	40	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea1fc	0x001ea218	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea284	0x001ea2a0	28	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea2b8	0x001ea2bc	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea2c8	0x001ea2d0	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea32c	0x001ea340	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea39c	0x001ea3b0	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea3cc	0x001ea3d4	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea3dc	0x001ea3e0	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea418	0x001ea428	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea440	0x001ea448	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea468	0x001ea470	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea54c	0x001ea578	44	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea850	0x001ea8e8	152	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ea9c4	0x001ea9f0	44	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaa08	0x001eaa10	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaa20	0x001eaa28	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaa74	0x001eaa88	20	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eab08	0x001eab28	32	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eab38	0x001eab3c	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eab44	0x001eab48	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eab7c	0x001eab88	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eabb8	0x001eabc8	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eabf8	0x001eac08	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eac3c	0x001eac48	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eac80	0x001eac90	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eacd0	0x001eace0	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ead10	0x001ead20	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001ead58	0x001ead68	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eada8	0x001eadb8	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eade8	0x001eadf8	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eae2c	0x001eae38	12	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eae68	0x001eae78	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eae80	0x001eae88	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eae9c	0x001eaea0	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaea8	0x001eaeb0	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaec4	0x001eaec8	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaedc	0x001eaee0	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaee8	0x001eaef0	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaef8	0x001eaf00	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaf08	0x001eaf10	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaf18	0x001eaf20	8	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaf34	0x001eaf38	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaf4c	0x001eaf50	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eaf64	0x001eaf68	4	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eafac	0x001eafbc	16	.rdata	padding / alignment (zero)	excluded	padding / alignment (zero)		zero bytes with no inbound game-visible reference
0x001eafbc	0x001eafc0	4	.rdata	library-private data	excluded	library-private data		NAFXCW
0x001eafc0	0x001eafd4	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eafd4	0x001eb000	44	.rdata	library-private data	excluded	library-private data		NAFXCW
0x001eb000	0x001eb014	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eb014	0x001eb040	44	.rdata	library-private data	excluded	library-private data		NAFXCW
0x001eb040	0x001eb054	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eb054	0x001eb068	20	.rdata	library-private data	excluded	library-private data		NAFXCW
0x001eb148	0x001eb168	32	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb168	0x001eb174	12	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eb174	0x001eb2e0	364	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb588	0x001eb5a8	32	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb5a8	0x001eb5c4	28	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eb5c4	0x001eb69c	216	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb69c	0x001eb6ac	16	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eb6ac	0x001eb6c8	28	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb6e8	0x001eb758	112	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb758	0x001eb768	16	.rdata	library-private data (SDK GUID)	excluded	library-private data (SDK GUID)		UUID.LIB:_IID_IDispatch
0x001eb768	0x001eb7c0	88	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eb7c0	0x001eb7d4	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eb7d4	0x001eba18	580	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eba18	0x001eba34	28	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eba34	0x001ebd54	800	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ebd54	0x001ebd64	16	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ebd64	0x001ebe24	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ebe24	0x001ebe34	16	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ebe34	0x001ebef8	196	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ebef8	0x001ebf04	12	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ebf04	0x001ebfdc	216	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ebfdc	0x001ebfec	16	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ebfec	0x001ec0bc	208	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec0bc	0x001ec0cc	16	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec0cc	0x001ec18c	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec18c	0x001ec19c	16	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec19c	0x001ec288	236	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec288	0x001ec29c	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec29c	0x001ec2c8	44	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec2c8	0x001ec2dc	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec2dc	0x001ec5d4	760	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec5d4	0x001ec5ec	24	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec5ec	0x001ec6d8	236	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec6d8	0x001ec6ec	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec6ec	0x001ec7ac	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec7ac	0x001ec7c4	24	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec7c4	0x001ec888	196	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec888	0x001ec89c	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec89c	0x001ec960	196	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ec960	0x001ec974	20	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ec974	0x001eca34	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001eca34	0x001eca4c	24	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001eca4c	0x001ecb0c	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ecb0c	0x001ecb24	24	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ecb24	0x001ecbe4	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
0x001ecbe4	0x001ecbfc	24	.rdata	compiler: RTTI records	excluded	compiler: RTTI records		RTTI/EH record by content (cell chain -> TypeDescriptor)
0x001ecbfc	0x001eccbc	192	.rdata	library-private data	excluded	library-private data		NAFXCW:MFC message-map/data block
