# Compiler-generated DATA with no reachable source spelling, in two classes:
#   common  a COFF COMMON cl emits from a header-inline's function-local static
#           (DATA() is main-file-only) or its ??_B dynamic-init guard byte (no
#           source spelling at all). No owning TU exists - cl emits a copy into
#           every instantiating TU and the linker merges them - so only the
#           retail address is stated; owner documents the emitting header inline.
#           Everything else is re-proven against the base objs' COMMON tables
#           every build (gruntz.audit.compgen_data).
#   copy    a reviewed per-TU copy of a header static (the GruntDirStatics
#           device, docs/data-attribution.md): owner is the emitting TU, decided
#           by its $E static initializer's position. Several rows may share one
#           rva (each TU's copy folds onto the same retail byte).
# labels.py folds both classes into build/gen/symbol_names.csv.
rva	size	name	owner	class
0x0022a458	0xc	?s_gruntDirSouthEast_22a458@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a468	0xc	?s_gruntDirCenter_22a468@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a478	0xc	?s_gruntDirSouthWest_22a478@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a4a0	0xc	?s_gruntDirEast_22a4a0@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a4b0	0xc	?s_gruntDirNorth_22a4b0@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a4c0	0xc	?s_gruntDirSouth_22a4c0@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a4d0	0xc	?s_gruntDirWest_22a4d0@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a4e0	0xc	?s_gruntDirNorthEast_22a4e0@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a4f0	0xc	?s_gruntDirNorthWest_22a4f0@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a500	0xc	?s_gruntDirSouthEast_22a500@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a510	0xc	?s_gruntDirCenter_22a510@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a520	0xc	?s_gruntDirSouthWest_22a520@@3UGruntDirectionCell@@A	advancedoptions	copy
0x0022a7d8	0xc	?s_gruntDirEast_22a7d8@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a7e8	0xc	?s_gruntDirNorth_22a7e8@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a7f8	0xc	?s_gruntDirSouth_22a7f8@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a808	0xc	?s_gruntDirWest_22a808@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a818	0xc	?s_gruntDirNorthEast_22a818@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a828	0xc	?s_gruntDirNorthWest_22a828@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a838	0xc	?s_gruntDirSouthEast_22a838@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a848	0xc	?s_gruntDirCenter_22a848@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a858	0xc	?s_gruntDirSouthWest_22a858@@3UGruntDirectionCell@@A	worldsoundset	copy
0x0022a918	0xc	?s_gruntDirEast_22a918@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a928	0xc	?s_gruntDirNorth_22a928@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a938	0xc	?s_gruntDirSouth_22a938@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a948	0xc	?s_gruntDirWest_22a948@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a958	0xc	?s_gruntDirNorthEast_22a958@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a968	0xc	?s_gruntDirNorthWest_22a968@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a978	0xc	?s_gruntDirSouthEast_22a978@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a988	0xc	?s_gruntDirCenter_22a988@@3UGruntDirectionCell@@A	gamesave	copy
0x0022a998	0xc	?s_gruntDirSouthWest_22a998@@3UGruntDirectionCell@@A	gamesave	copy
0x0022aa80	0xc	?s_gruntDirEast_22aa80@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aa90	0xc	?s_gruntDirNorth_22aa90@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aaa0	0xc	?s_gruntDirSouth_22aaa0@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aab0	0xc	?s_gruntDirWest_22aab0@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aac0	0xc	?s_gruntDirNorthEast_22aac0@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aad0	0xc	?s_gruntDirNorthWest_22aad0@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aae0	0xc	?s_gruntDirSouthEast_22aae0@@3UGruntDirectionCell@@A	attractstate	copy
0x0022aaf0	0xc	?s_gruntDirCenter_22aaf0@@3UGruntDirectionCell@@A	attractstate	copy
0x0022ab00	0xc	?s_gruntDirSouthWest_22ab00@@3UGruntDirectionCell@@A	attractstate	copy
0x0022abb8	0xc	?s_gruntDirEast_22abb8@@3UGruntDirectionCell@@A	dialogs	copy
0x0022abc8	0xc	?s_gruntDirNorth_22abc8@@3UGruntDirectionCell@@A	dialogs	copy
0x0022abd8	0xc	?s_gruntDirSouth_22abd8@@3UGruntDirectionCell@@A	dialogs	copy
0x0022abe8	0xc	?s_gruntDirWest_22abe8@@3UGruntDirectionCell@@A	dialogs	copy
0x0022abf8	0xc	?s_gruntDirNorthEast_22abf8@@3UGruntDirectionCell@@A	dialogs	copy
0x0022ac08	0xc	?s_gruntDirNorthWest_22ac08@@3UGruntDirectionCell@@A	dialogs	copy
0x0022ac18	0xc	?s_gruntDirSouthEast_22ac18@@3UGruntDirectionCell@@A	dialogs	copy
0x0022ac28	0xc	?s_gruntDirCenter_22ac28@@3UGruntDirectionCell@@A	dialogs	copy
0x0022ac38	0xc	?s_gruntDirSouthWest_22ac38@@3UGruntDirectionCell@@A	dialogs	copy
0x0022acb8	0xc	?s_gruntDirEast_22acb8@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022acc8	0xc	?s_gruntDirNorth_22acc8@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022acd8	0xc	?s_gruntDirSouth_22acd8@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022ace8	0xc	?s_gruntDirWest_22ace8@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022acf8	0xc	?s_gruntDirNorthEast_22acf8@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022ad08	0xc	?s_gruntDirNorthWest_22ad08@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022ad18	0xc	?s_gruntDirSouthEast_22ad18@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022ad28	0xc	?s_gruntDirCenter_22ad28@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022ad38	0xc	?s_gruntDirSouthWest_22ad38@@3UGruntDirectionCell@@A	battlezdlgcolors	copy
0x0022ad60	0xc	?s_gruntDirEast_22ad60@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022ad70	0xc	?s_gruntDirNorth_22ad70@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022ad80	0xc	?s_gruntDirSouth_22ad80@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022ad90	0xc	?s_gruntDirWest_22ad90@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022ada0	0xc	?s_gruntDirNorthEast_22ada0@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022adb0	0xc	?s_gruntDirNorthWest_22adb0@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022adc0	0xc	?s_gruntDirSouthEast_22adc0@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022add0	0xc	?s_gruntDirCenter_22add0@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022ade0	0xc	?s_gruntDirSouthWest_22ade0@@3UGruntDirectionCell@@A	customleveldlg	copy
0x0022adec	0x1	_?$S@?4??DoDataExchange@CBattlezDlgCustom@@UAEXPAVCDataExchange@@@Z@4EA$S	customleveldlg	copy
0x0022ae10	0xc	?s_gruntDirEast_22ae10@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022ae20	0xc	?s_gruntDirNorth_22ae20@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022ae30	0xc	?s_gruntDirSouth_22ae30@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022ae40	0xc	?s_gruntDirWest_22ae40@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022ae70	0x1	_?$S@?BD@??BuildBootyWalkingGruntz@CBootyState@@QAEHXZ@4EA$S	bootystateactivate	copy
0x0022ae78	0xc	?s_gruntDirNorthEast_22ae78@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022be28	0xc	?s_gruntDirNorthWest_22be28@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022be38	0xc	?s_gruntDirSouthEast_22be38@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022be48	0xc	?s_gruntDirCenter_22be48@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022be58	0xc	?s_gruntDirSouthWest_22be58@@3UGruntDirectionCell@@A	bootystateactivate	copy
0x0022c238	0xc	?s_gruntDirEast_22c238@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c248	0xc	?s_gruntDirNorth_22c248@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c258	0xc	?s_gruntDirSouth_22c258@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c268	0xc	?s_gruntDirWest_22c268@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c278	0xc	?s_gruntDirNorthEast_22c278@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c288	0xc	?s_gruntDirNorthWest_22c288@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c298	0xc	?s_gruntDirSouthEast_22c298@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c2a8	0xc	?s_gruntDirCenter_22c2a8@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c2b8	0xc	?s_gruntDirSouthWest_22c2b8@@3UGruntDirectionCell@@A	chatboxowner	copy
0x0022c300	0xc	?s_gruntDirEast_22c300@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c310	0xc	?s_gruntDirNorth_22c310@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c320	0xc	?s_gruntDirSouth_22c320@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c330	0xc	?s_gruntDirWest_22c330@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c340	0xc	?s_gruntDirNorthEast_22c340@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c350	0xc	?s_gruntDirNorthWest_22c350@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c360	0xc	?s_gruntDirSouthEast_22c360@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c370	0xc	?s_gruntDirCenter_22c370@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c380	0xc	?s_gruntDirSouthWest_22c380@@3UGruntDirectionCell@@A	fontconfig	copy
0x0022c3b8	0xc	?s_gruntDirEast_22c3b8@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c3c8	0xc	?s_gruntDirNorth_22c3c8@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c3d8	0xc	?s_gruntDirSouth_22c3d8@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c3e8	0xc	?s_gruntDirWest_22c3e8@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c3f8	0xc	?s_gruntDirNorthEast_22c3f8@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c408	0xc	?s_gruntDirNorthWest_22c408@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c418	0xc	?s_gruntDirSouthEast_22c418@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c428	0xc	?s_gruntDirCenter_22c428@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c438	0xc	?s_gruntDirSouthWest_22c438@@3UGruntDirectionCell@@A	checkpointdlg	copy
0x0022c4e0	0x1	_$S158$S	checkpointdlg	copy
0x0022c4e8	0xc	?s_gruntDirEast_22c4e8@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c4f8	0xc	?s_gruntDirNorth_22c4f8@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c508	0xc	?s_gruntDirSouth_22c508@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c518	0xc	?s_gruntDirWest_22c518@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c548	0xc	?s_gruntDirNorthEast_22c548@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c558	0xc	?s_gruntDirNorthWest_22c558@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c568	0xc	?s_gruntDirSouthEast_22c568@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c578	0xc	?s_gruntDirCenter_22c578@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c588	0xc	?s_gruntDirSouthWest_22c588@@3UGruntDirectionCell@@A	gruntzcmdmgr	copy
0x0022c5f8	0xc	?s_gruntDirEast_22c5f8@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c608	0xc	?s_gruntDirNorth_22c608@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c618	0xc	?s_gruntDirSouth_22c618@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c628	0xc	?s_gruntDirWest_22c628@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c638	0xc	?s_gruntDirNorthEast_22c638@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c648	0xc	?s_gruntDirNorthWest_22c648@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c658	0xc	?s_gruntDirSouthEast_22c658@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c668	0xc	?s_gruntDirCenter_22c668@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c678	0xc	?s_gruntDirSouthWest_22c678@@3UGruntDirectionCell@@A	battlezmapconfig	copy
0x0022c6b8	0xc	?s_gruntDirEast_22c6b8@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c6c8	0xc	?s_gruntDirNorth_22c6c8@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c6d8	0xc	?s_gruntDirSouth_22c6d8@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c6e8	0xc	?s_gruntDirWest_22c6e8@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c6f8	0xc	?s_gruntDirNorthEast_22c6f8@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c708	0xc	?s_gruntDirNorthWest_22c708@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c718	0xc	?s_gruntDirSouthEast_22c718@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c728	0xc	?s_gruntDirCenter_22c728@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c738	0xc	?s_gruntDirSouthWest_22c738@@3UGruntDirectionCell@@A	battlezunitstep	copy
0x0022c768	0xc	?s_gruntDirEast_22c768@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c778	0xc	?s_gruntDirNorth_22c778@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c788	0xc	?s_gruntDirSouth_22c788@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c798	0xc	?s_gruntDirWest_22c798@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c7a8	0xc	?s_gruntDirNorthEast_22c7a8@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c7b8	0xc	?s_gruntDirNorthWest_22c7b8@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c7c8	0xc	?s_gruntDirSouthEast_22c7c8@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c7d8	0xc	?s_gruntDirCenter_22c7d8@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c7e8	0xc	?s_gruntDirSouthWest_22c7e8@@3UGruntDirectionCell@@A	grunttilescan	copy
0x0022c810	0xc	?s_gruntDirEast_22c810@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c820	0xc	?s_gruntDirNorth_22c820@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c830	0xc	?s_gruntDirSouth_22c830@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c840	0xc	?s_gruntDirWest_22c840@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c850	0xc	?s_gruntDirNorthEast_22c850@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c860	0xc	?s_gruntDirNorthWest_22c860@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c870	0xc	?s_gruntDirSouthEast_22c870@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c880	0xc	?s_gruntDirCenter_22c880@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c890	0xc	?s_gruntDirSouthWest_22c890@@3UGruntDirectionCell@@A	gruntstatestep	copy
0x0022c8b8	0xc	?s_gruntDirEast_22c8b8@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c8c8	0xc	?s_gruntDirNorth_22c8c8@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c8d8	0xc	?s_gruntDirSouth_22c8d8@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c8e8	0xc	?s_gruntDirWest_22c8e8@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c8f8	0xc	?s_gruntDirNorthEast_22c8f8@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c908	0xc	?s_gruntDirNorthWest_22c908@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c918	0xc	?s_gruntDirSouthEast_22c918@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c928	0xc	?s_gruntDirCenter_22c928@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c938	0xc	?s_gruntDirSouthWest_22c938@@3UGruntDirectionCell@@A	battlezspawncheck	copy
0x0022c960	0xc	?s_gruntDirEast_22c960@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c970	0xc	?s_gruntDirNorth_22c970@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c980	0xc	?s_gruntDirSouth_22c980@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c990	0xc	?s_gruntDirWest_22c990@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c9a0	0xc	?s_gruntDirNorthEast_22c9a0@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c9b0	0xc	?s_gruntDirNorthWest_22c9b0@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c9c0	0xc	?s_gruntDirSouthEast_22c9c0@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c9d0	0xc	?s_gruntDirCenter_22c9d0@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022c9e0	0xc	?s_gruntDirSouthWest_22c9e0@@3UGruntDirectionCell@@A	battlezrepath	copy
0x0022ca08	0xc	?s_gruntDirEast_22ca08@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca18	0xc	?s_gruntDirNorth_22ca18@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca28	0xc	?s_gruntDirSouth_22ca28@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca38	0xc	?s_gruntDirWest_22ca38@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca48	0xc	?s_gruntDirNorthEast_22ca48@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca58	0xc	?s_gruntDirNorthWest_22ca58@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca68	0xc	?s_gruntDirSouthEast_22ca68@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca78	0xc	?s_gruntDirCenter_22ca78@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022ca88	0xc	?s_gruntDirSouthWest_22ca88@@3UGruntDirectionCell@@A	battlezreserveplace	copy
0x0022cab0	0xc	?s_gruntDirEast_22cab0@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cac0	0xc	?s_gruntDirNorth_22cac0@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cad0	0xc	?s_gruntDirSouth_22cad0@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cae0	0xc	?s_gruntDirWest_22cae0@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022caf0	0xc	?s_gruntDirNorthEast_22caf0@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cb00	0xc	?s_gruntDirNorthWest_22cb00@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cb10	0xc	?s_gruntDirSouthEast_22cb10@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cb20	0xc	?s_gruntDirCenter_22cb20@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cb30	0xc	?s_gruntDirSouthWest_22cb30@@3UGruntDirectionCell@@A	battlezretarget	copy
0x0022cb58	0xc	?s_gruntDirEast_22cb58@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cb68	0xc	?s_gruntDirNorth_22cb68@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cb78	0xc	?s_gruntDirSouth_22cb78@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cb88	0xc	?s_gruntDirWest_22cb88@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cb98	0xc	?s_gruntDirNorthEast_22cb98@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cba8	0xc	?s_gruntDirNorthWest_22cba8@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cbb8	0xc	?s_gruntDirSouthEast_22cbb8@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cbc8	0xc	?s_gruntDirCenter_22cbc8@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cbd8	0xc	?s_gruntDirSouthWest_22cbd8@@3UGruntDirectionCell@@A	tilescan	copy
0x0022cc80	0xc	?s_gruntDirEast_22cc80@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022cc90	0xc	?s_gruntDirNorth_22cc90@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022cca0	0xc	?s_gruntDirSouth_22cca0@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022ccb0	0xc	?s_gruntDirWest_22ccb0@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022ccd0	0xc	?s_gruntDirNorthEast_22ccd0@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022cce0	0xc	?s_gruntDirNorthWest_22cce0@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022ccf0	0xc	?s_gruntDirSouthEast_22ccf0@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022cd00	0xc	?s_gruntDirCenter_22cd00@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022cd10	0xc	?s_gruntDirSouthWest_22cd10@@3UGruntDirectionCell@@A	videoconfig	copy
0x0022cd98	0xc	?s_gruntDirEast_22cd98@@3UGruntDirectionCell@@A	videooptions	copy
0x0022cda8	0xc	?s_gruntDirNorth_22cda8@@3UGruntDirectionCell@@A	videooptions	copy
0x0022cdb8	0xc	?s_gruntDirSouth_22cdb8@@3UGruntDirectionCell@@A	videooptions	copy
0x0022cdc8	0xc	?s_gruntDirWest_22cdc8@@3UGruntDirectionCell@@A	videooptions	copy
0x0022cdd8	0xc	?s_gruntDirNorthEast_22cdd8@@3UGruntDirectionCell@@A	videooptions	copy
0x0022cde8	0xc	?s_gruntDirNorthWest_22cde8@@3UGruntDirectionCell@@A	videooptions	copy
0x0022cdf8	0xc	?s_gruntDirSouthEast_22cdf8@@3UGruntDirectionCell@@A	videooptions	copy
0x0022ce08	0xc	?s_gruntDirCenter_22ce08@@3UGruntDirectionCell@@A	videooptions	copy
