file	record	fields	disposition	evidence
include/DDrawMgr/DirectDrawMgr.h	DisplayResolution	m_width, m_height	retain-distinct	Display mode dimensions; no SDK whole-object buffer identity.
include/Gruntz/DoubleVector.h	DoubleVector2	m_x, m_y	retain-distinct	Motion x/y vector, not complex arithmetic.
include/Crypto/FecCrypt.h	FecArchiveHeader	m_versionMajor, m_versionMinor, m_fileCount	retain-distinct	File archive version and count.
include/Gruntz/FontConfig.h	FontItem	m_flags, m_payload, m_name	retain-distinct	Font flags/payload/CString owner, not SDK transfer medium.
include/Font/Font.h	Glyph	m_width, m_height	retain-distinct	Glyph dimensions, not an SDK buffer.
include/Gruntz/GruntIdentity.h	GruntIdentity	m_playerIndex, m_unitIndex	retain-distinct	Player and unit IDs.
include/Gruntz/GameLevel.h	LevelDims	m_w, m_h	retain-distinct	Level grid dimensions.
include/Image/FileImageRecords.h	PcxRgb	m_red, m_green, m_blue	retain-distinct	PCX RGB order differs from SDK RGBTRIPLE BGR order.
include/Gruntz/GruntzPlayer.h	PlayerLatency	m_avg, m_count	retain-distinct	Latency accumulator and count.
include/Gruntz/StatusBarMgr.h	struct_decl {m_intervalLo, m_intervalHi}	m_intervalLo, m_intervalHi	retain-distinct	Game timing/clock representation; clock and serialization uses distinguish it from SDK geometry.
include/Bute/ButeLexAction.h	TranType	m_actionType, m_a, m_b	retain-distinct	Surviving parser transition table.
include/Gruntz/WwdGridIter.h	WwdRect	m_minX, m_minY, m_maxX, m_maxY	retain-distinct	Inclusive grid-node containment differs from SDK rectangle containment.
include/Rez/DebugPrintfInternals.h	dprintfFromTo	m_from, m_to	retain-distinct	Surviving dprintf range declaration.
include/Wap32/zBitVec.h	zBitVec	m_capacity, anonymous	retain-distinct	Bit-vector capacity and storage, not an archive exception.
include/Wap32/zBitVec.h	union_decl {m_words, m_inline}	m_words, m_inline	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/Clock64.h	struct_decl {m_lo, m_hi}	m_lo, m_hi	retain-distinct	Game timing/clock representation; clock and serialization uses distinguish it from SDK geometry.
include/DDrawMgr/ClutTable.h	ClutByteCursor	m_bytes, m_words	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/DDrawMgr/DirectDrawMgr.h	DdDriverEnumFn	m_sdk, m_body	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/DDrawMgr/DirectDrawMgr.h	DdModeEnumFn	m_sdk, m_body	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/DinMgr2/DirectInputMgr2.h	DinJoystickEnumFn	m_sdk, m_body	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/MsgParam.h	RegBuf	m_bytes, m_chars, m_dword	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/MsgParam.h	RegBufC	m_bytes, m_chars	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
include/Io/MoviePlayer.h	SmackSource	m_path, m_handle	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
src/Gruntz/FortressFlag.cpp	union_decl {m_bytes, m_slot}	m_bytes, m_slot	retain-distinct	Value/pointer/ABI alternatives; no SDK record fields redeclared.
