key	fingerprint	disposition	evidence
method:c:@S@CGiantRock@F@CGiantRock#*$@S@CGameObject#	cc5a8ca778188daa94f1399a2e771611772779a9f7f3631bf34d6bb358ebbda3	retained-authored	The CGameObject* constructor forwards its object argument to CTileTrigger; the 25-byte retail body includes that argument and the derived vptr. This is an authored parameterized overload, not an implicit default or copy constructor.
method:c:@S@CGiantRockLogic@F@CGiantRockLogic#	e9c9b4d462593e4fab051dc91861992252e5ee178bf0d6108bf5b64dc86c2ab2	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CGruntzApp@F@CGruntzApp#	70893077234842bc5f48485b9d5074585d98357f50ba1fa55c3bcb3c4c4fc82f	retained-authored	Implicit-constructor control removes this definition and every reference from the seven real owner/caller objects; retail call at 0x11c9bb reaches this constructor. Keep the authored empty out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CGruntzWnd@F@CGruntzWnd#	fe908730cce554a40e09a6fa11ff948dc0c90a38c6bf389c65be7c5b0ebc2b93	retained-authored	Implicit-constructor control removes this definition and every reference from the seven real owner/caller objects; retail call at 0x809d2 reaches this constructor. Keep the authored empty out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CLogicRecord@F@CLogicRecord#*$@S@CDDrawSurfaceMgr#I#I#	671e4ce48425281429bb996e64fc8312ce0f64c7c35d2195d342fba45cbdef6a	open-model-conflict	The same USR has an inline definition in LogicRecordCtorInline.h and an ordinary definition in WwdObjMgr.cpp. Their bodies agree; the duplicated source/visibility boundary remains a review item with its base and collection family. Multiple definition forms alone do not assert a semantic or ODR conflict.
method:c:@S@CLogicRecordRegistry@F@FindTemplate#*1C#	ef94fb0cde4e51276a0423186494ee2db74d011c44682d31b2623c62b1f1bbdc	open-model-conflict	The same USR has an inline definition in LogicRecordRegistryFindInline.h and an ordinary definition in StreamRecordLoaders.cpp. Their bodies agree; the duplicated source/visibility boundary remains a review item with its base and collection family. Multiple definition forms alone do not assert a semantic or ODR conflict.
method:c:@S@CMultiHelpDlg@F@CMultiHelpDlg#*$@S@CWnd#	f1f85552d21bf06cf0ab037615a4cb41099457d0bb613ede7d0530891c503781	retained-authored	The CWnd* parameter forwards to CDialog with dialog resource 0xcb; the retail push/call sequence and ret 4 preserve that authored initializer. An implicit default constructor cannot supply this parameterized resource-selection API.
method:c:@S@CSecretLevelTrigger@F@CSecretLevelTrigger#	299ecdc797ddcec0824ce2d8e42d2b58bc5abcfc743b47e8e463a30b5739a391	open-model-conflict	The empty body hides a CUserLogic(INLINE_BASE) initializer. The derived class also has a CGameObject* overload, so a no-argument constructor must remain declared, but the inferred visibility-selector overload and the complete CUserLogic construction family require review.
method:c:@S@CTileExclusiveTriggerSwitchLogic@F@CTileExclusiveTriggerSwitchLogic#	3df01901a96cad2953bd69b4a55e362c3d0621e3cfab47ba7b6fbf8e77ca9ec9	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CTileMultiTriggerSwitchLogic@F@CTileMultiTriggerSwitchLogic#	52c313468e18a0cf58ee85fc912f87539b8f059939bde3c4ebe2be482079e0e6	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CTileSecretTrigger@F@CTileSecretTrigger#*$@S@CGameObject#	1b1776152b8ee273882d1a063965cca79e176149675ee218b22163de5be4e180	retained-authored	The CGameObject* constructor forwards its object argument to CTileTrigger; the 25-byte retail body includes that argument and the derived vptr. This is an authored parameterized overload, not an implicit default or copy constructor.
method:c:@S@CTileSecretTriggerLogic@F@CTileSecretTriggerLogic#	cbf40383964c7491f091b8b2aa0b0566800d1093450a7968c4b74446059dfd91	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CTileSecretTriggerSwitchLogic@F@CTileSecretTriggerSwitchLogic#	843e3c10fcff24318b03f9636011e1612b7fcc094426b93225132ebfda4a3d21	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CTileTimeTriggerLogic@F@CTileTimeTriggerLogic#	910df9a71413c9c705292bbddfa2a93dac71f277cc44a5b510db75e2bcc8f284	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CTileTimeTriggerSwitchLogic@F@CTileTimeTriggerSwitchLogic#	69721dbab2aaf48e81cd572676e0666a2990d8c3e0be173e2becf5571db1d81d	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CUserLogic@F@BuildLogicTypeTable#*$@S@CGameObject#	d43d6719fea809bea05c1ad0e1a7c35ea253f90266c0ccbc5803d3292050cea8	open-model-conflict	The same USR has an inline definition in LogicTypeTableInline.h and an ordinary definition in UserLogic.cpp. Their bodies agree; the duplicated source/visibility boundary remains a review item with its base and collection family. Multiple definition forms alone do not assert a semantic or ODR conflict.
method:c:@S@CVoiceTrigger@F@CVoiceTrigger#	1e108e4520d2898741ec5108d1a1dec84790439f03cffe076ba9e613207d7028	open-model-conflict	The empty body hides a CUserLogic(INLINE_BASE) initializer. The derived class also has a CGameObject* overload, so a no-argument constructor must remain declared, but the inferred visibility-selector overload and the complete CUserLogic construction family require review.
method:c:@S@CWapX@F@~CWapX#	3f83a46e7ef3edb2b3feffc686f40ecbe69f0e027d3b1723655cc0a824fb5c3b	retained-authored	Complete CWapX storage is pointers plus a byte array, with no nontrivial member/base destructor. The retail body is a one-byte RET. The authored inline empty destructor supplies this lifetime boundary; no additional empty wrapper/base is introduced merely to manufacture an implicit destructor.
method:c:@S@FontRenderer@F@~FontRenderer#	7c02f863e9160bf347f1a42818f27d12b0d91f27eae755e23efff8dcc0567215	retained-authored	FontRenderer has a Font pointer, COLORREF and two integer options, with no nontrivial base/member teardown. The one-byte retail RET is accounted for by the existing authored empty destructor; draw/measure/color APIs are domain behavior.
method:c:@S@PlayerLatency@F@~PlayerLatency#	7d20cc8c720af0f1709567b29003881b1dd6bc56fc1ec1b306b0c317490f69ce	retained-authored	The two integer members are the latency average and sample count, corroborated by the update in CMulti and display in MultiStartDlg. That scalar layout supplies no implicit nontrivial teardown; retain the authored inline empty destructor. The possible generic accumulator owner is a separate open record-family review.
method:c:@S@SoundBuffer@F@~SoundBuffer#	0685ca5038b9f1b3b32b6d045a4636b484fccb351df7efbd0d0f179f24bce072	retained-authored	The prior real-VC5 sound destructor control and direct retail audit require the authored vptr-reset layer; implicit SoundBufferInstance teardown loses its derived-vptr store. See patterns/typed-container-use-replaces-manual-compiler-methods.md.
method:c:@S@SoundBufferInstance@F@~SoundBufferInstance#	d63013356def8d80481243f2b0699ddfb4f772c99af595956fb2c04df4158eb6	retained-authored	The prior real-VC5 sound destructor control and direct retail audit require the authored vptr-reset layer; implicit SoundBufferInstance teardown loses its derived-vptr store. See patterns/typed-container-use-replaces-manual-compiler-methods.md.
method:c:@S@SoundStream@F@SoundStream#	71418da4dc7fdf0c2163a95d1a99dbe78a88c716d1295e791a833ffb334e9223	retained-authored	Implicit-constructor control removes this definition and every reference from the seven real owner/caller objects; retail call at 0x155c34 reaches this constructor. Keep the authored empty out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@SoundStream@F@~SoundStream#	4c6b4d4a7d32ffc95617cf1b5bce56bc1c6ef1a27ee81e221263bfe39de798fb	retained-authored	Real-TU omission control shrinks 11 bytes to 5 by removing the derived-vptr store present in retail. Restored the authored empty destructor; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@SoundTask@F@~SoundTask#	7bf3e93071230a285bffdef8b496f2204d80f0b253ce034b5b834916d7c37c64	retained-authored	The prior real-VC5 sound destructor control and direct retail audit require the authored vptr-reset layer; implicit SoundBufferInstance teardown loses its derived-vptr store. See patterns/typed-container-use-replaces-manual-compiler-methods.md.
method:c:@S@WwdDirtyRect@F@~WwdDirtyRect#	8d856bbc96e685c2fe2712f8295d8832ef0fc2db182eb1f5d71e6ae5a3bd6ac0	retained-authored	Retail begins with RET and COMDAT padding, and EH funclets still jump to this entry. The complete current record and base contain only trivial scalar/POD/link fields. Keep the authored inline empty destructor to supply the nontrivial EH lifetime; see patterns/eh-funclet-names-the-type.md. Compiler emission of an inline body does not make its declaration implicit.
method:c:@S@WwdRegion@F@~WwdRegion#	9aaf849ec3100764e2690d7f5f91762c0d722f7106dcffda16a72ab2d457063a	retained-authored	Retail begins with RET and COMDAT padding, and EH funclets still jump to this entry. The complete current record and base contain only trivial scalar/POD/link fields. Keep the authored inline empty destructor to supply the nontrivial EH lifetime; see patterns/eh-funclet-names-the-type.md. Compiler emission of an inline body does not make its declaration implicit.
method:c:@S@zPTree@F@zPTree#*Fv(#*v)#$@S@zPtrColl@E@cleanup_behaviour#	f964dfb587a2181a7974c7ec9eac5e0ba54742bc147c497d2f2541bf68430a95	retained-authored	The zPTree family is governed by lineage ID nolf-zptree-core-api: callback/cleanup parameters, zErrHandling and zPtrColl initializers, root and preview initialization are authored work hidden by the empty compound body.
method:c:@S@zPtrColl@F@zPtrColl#$@S@zPtrColl@E@cleanup_behaviour#*Fv(#*v)#	0595fb625cd3ac2acb6d9c020c2e65c3d8ad72b9ee5019d04a7fa0b445616f92	retained-authored	The zPtrColl declaration/API and explicit virtual destructor are source-proven by lineage ID nolf-zptrcoll-api. Constructor initializers set callback, cleanup flags and count; the retail destructor performs its vptr store. These are authored erased-base methods.
method:c:@S@zPtrColl@F@~zPtrColl#	20dd813063e35b6e746300bf0766b41c1d8cbd350b99e11fa774324950d09950	retained-authored	The zPtrColl declaration/API and explicit virtual destructor are source-proven by lineage ID nolf-zptrcoll-api. Constructor initializers set callback, cleanup flags and count; the retail destructor performs its vptr store. These are authored erased-base methods.
owner:c:@S@CBrickzCellNodePool	7003c49529ad011e24cb9fc3c177e70f628694696b9899fd4073fee1314328a6	open-model-conflict	Constructor/allocator thunks resolve to the 12-byte subobject at CMapMgr +0x3c. Retail allocation/free use owner storage +0, while pop/recycle consumers mutate free head at CMapMgr +0x40 (owner +4). Cell allocation also clears the search pointer. The common owner/node policy remains open after verifying callers and consumers.
owner:c:@S@CBrickzNodePool	b0dcfb5aaa9d59af59e5ef303a92ac7d0cfb5c674c35b7749e5515bfbe057135	open-model-conflict	Constructor/allocator thunks resolve to this 12-byte subobject at CMapMgr +0x30. Retail allocation/free use owner storage +4, while recycle/pop consumers mutate free head at CMapMgr +0x30. This independently corroborates the field roles but leaves the common pool/node source policy open; do not assume the current concrete name is authored.
owner:c:@S@PlayerLatency	037854d5b83f3055f3bd384afdb5c5dd6cfef64a0113c7451d6a9eace47b56d9	open-model-conflict	The complete eight-byte record stores an integer average and sample count; CMulti expands the sample-combine calculation and MultiStartDlg prints the average. A generic scalar accumulator and its add/reset/get boundary remain candidates. The retained authored empty destructor does not certify this concrete owner name.
